Comment,Designator,Footprint,LCSC
33,R35,R_0402_1005Metric,
50,R56,R_0402_1005Metric,
50,R100,R_0402_1005Metric,
3.3,R2,R_0402_1005Metric,
3.3,R90,R_0402_1005Metric,
1u,C34,C_0402_1005Metric,
Conn_Coaxial,J13,SMB_Jack_Vertical,
OPA847IDBVT,U4,OPA847IDBVT,
Conn_Coaxial,J6,SMB_Jack_Vertical,
1u,C36,C_0402_1005Metric,
Conn_Coaxial,J8,SMB_Jack_Vertical,
3.3,R77,R_0402_1005Metric,
50,R87,R_0402_1005Metric,
1u,C32,C_0402_1005Metric,
50,R112,R_0402_1005Metric,
3.3,R89,R_0402_1005Metric,
Conn_Coaxial,J9,SMB_Jack_Vertical,
1u,C7,C_0402_1005Metric,
50,R111,R_0402_1005Metric,
33,R5,R_0402_1005Metric,
OPA847IDBVT,U10,OPA847IDBVT,
1u,C20,C_0402_1005Metric,
OPA847IDBVT,U3,OPA847IDBVT,
1u,C47,C_0402_1005Metric,
1u,C15,C_0402_1005Metric,
33,R80,R_0402_1005Metric,
1u,C46,C_0402_1005Metric,
1u,C23,C_0402_1005Metric,
1u,C2,C_0402_1005Metric,
33,R91,R_0402_1005Metric,
OPA847IDBVT,U11,OPA847IDBVT,
50,R13,R_0402_1005Metric,
50,R12,R_0402_1005Metric,
1u,C6,C_0402_1005Metric,
1u,C78,C_0402_1005Metric,
OPA847IDBVT,U14,OPA847IDBVT,
33,R4,R_0402_1005Metric,
3.3,R102,R_0402_1005Metric,
OPA847IDBVT,U5,OPA847IDBVT,
1u,C18,C_0402_1005Metric,
50,R88,R_0402_1005Metric,
1u,C74,C_0402_1005Metric,
50,R72,R_0402_1005Metric,
Conn_Coaxial,J2,SMB_Jack_Vertical,
OPA847IDBVT,U16,OPA847IDBVT,
3.3,R34,R_0402_1005Metric,
50,R44,R_0402_1005Metric,
1u,C5,C_0402_1005Metric,
33,R103,R_0402_1005Metric,
3.3,R101,R_0402_1005Metric,
3.3,R33,R_0402_1005Metric,
OPA847IDBVT,U1,OPA847IDBVT,
1u,C77,C_0402_1005Metric,
50,R32,R_0402_1005Metric,
1u,C44,C_0402_1005Metric,
1u,C58,C_0402_1005Metric,
Conn_Coaxial,J5,SMB_Jack_Vertical,
1u,C3,C_0402_1005Metric,
1u,C35,C_0402_1005Metric,
MountingHole,H3,MountingHole_6mm,
3.3,R63,R_0402_1005Metric,
1u,C25,C_0402_1005Metric,
1u,C45,C_0402_1005Metric,
33,R36,R_0402_1005Metric,
1u,C69,C_0402_1005Metric,
1u,C70,C_0402_1005Metric,
Conn_Coaxial,J3,SMB_Jack_Vertical,
OPA847IDBVT,U12,OPA847IDBVT,
1u,C60,C_0402_1005Metric,
33,R104,R_0402_1005Metric,
1u,C16,C_0402_1005Metric,
33,R92,R_0402_1005Metric,
1u,C65,C_0402_1005Metric,
OPA847IDBVT,U17,OPA847IDBVT,
33,R47,R_0402_1005Metric,
