Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,183.6625,-93.4,0.0,bottom
C2,1u,C_0402_1005Metric,175.825,-92.230002,0.0,top
C3,1u,C_0402_1005Metric,170.0,-93.186055,180.0,top
C4,1u,C_0402_1005Metric,191.3874,-94.03,180.0,top
C5,1u,C_0402_1005Metric,197.3624,-93.06,0.0,top
C6,1u,C_0402_1005Metric,197.3624,-92.06,0.0,top
C7,1u,C_0402_1005Metric,170.0,-94.190002,180.0,top
C10,1u,C_0805_2012Metric,183.6625,-91.4,0.0,bottom
C11,1u,C_0805_2012Metric,183.6625,-95.4,0.0,bottom
C12,1u,C_0805_2012Metric,183.6625,-89.4,0.0,bottom
C14,1u,C_0805_2012Metric,183.6625,-105.233334,0.0,bottom
C15,1u,C_0402_1005Metric,175.825,-95.5,0.0,top
C16,1u,C_0402_1005Metric,170.0,-96.5,180.0,top
C17,1u,C_0402_1005Metric,191.4074,-97.23,180.0,top
C18,1u,C_0402_1005Metric,197.3624,-96.31,0.0,top
C19,1u,C_0402_1005Metric,197.3624,-95.31,0.0,top
C20,1u,C_0402_1005Metric,170.0,-97.5,180.0,top
C23,1u,C_0402_1005Metric,191.3574,-100.39,180.0,top
C24,1u,C_0402_1005Metric,197.3624,-99.43,0.0,top
C25,1u,C_0402_1005Metric,175.825,-98.8,0.0,top
C26,1u,C_0402_1005Metric,170.0,-99.8,180.0,top
C27,1u,C_0402_1005Metric,197.3624,-98.49,0.0,top
C28,1u,C_0402_1005Metric,170.0,-100.740002,180.0,top
C31,1u,C_0402_1005Metric,175.825,-102.090002,0.0,top
C32,1u,C_0402_1005Metric,170.0,-102.990002,180.0,top
C33,1u,C_0402_1005Metric,191.3874,-103.63,180.0,top
C34,1u,C_0402_1005Metric,197.3624,-102.63,0.0,top
C35,1u,C_0402_1005Metric,197.3624,-101.68,0.0,top
C36,1u,C_0402_1005Metric,170.0,-104.0,180.0,top
C39,1u,C_0805_2012Metric,183.6625,-100.966667,0.0,bottom
C40,1u,C_0805_2012Metric,183.6625,-98.833334,0.0,bottom
C41,1u,C_0805_2012Metric,183.6625,-103.1,0.0,bottom
C42,1u,C_0402_1005Metric,178.4,-88.94,0.0,top
C43,1u,C_0402_1005Metric,172.1,-89.84,180.0,top
C44,1u,C_0402_1005Metric,188.567053,-90.562053,180.0,top
C45,1u,C_0402_1005Metric,194.357053,-89.522054,0.0,top
C46,1u,C_0402_1005Metric,192.6,-87.185,90.0,top
C47,1u,C_0402_1005Metric,172.1,-90.84,180.0,top
C57,1u,C_0402_1005Metric,175.825,-105.31,0.0,top
C58,1u,C_0402_1005Metric,170.0,-106.26,180.0,top
C59,1u,C_0402_1005Metric,191.4074,-106.78,180.0,top
C60,1u,C_0402_1005Metric,197.3624,-105.82,0.0,top
C61,1u,C_0402_1005Metric,197.3624,-104.88,0.0,top
C62,1u,C_0402_1005Metric,170.0,-107.21,180.0,top
C65,1u,C_0402_1005Metric,191.3624,-110.03,180.0,top
C66,1u,C_0402_1005Metric,197.3624,-109.08,0.0,top
C67,1u,C_0402_1005Metric,175.825,-108.55,0.0,top
C68,1u,C_0402_1005Metric,170.0,-109.5,180.0,top
C69,1u,C_0402_1005Metric,197.3624,-108.155,0.0,top
C70,1u,C_0402_1005Metric,170.0,-110.45,180.0,top
C73,1u,C_0402_1005Metric,179.272,-112.09,0.0,top
C74,1u,C_0402_1005Metric,173.465,-113.065,180.0,top
C75,1u,C_0402_1005Metric,188.031001,-113.876,180.0,top
C76,1u,C_0402_1005Metric,194.031001,-112.9,0.0,top
C77,1u,C_0402_1005Metric,194.031001,-111.926,0.0,top
C78,1u,C_0402_1005Metric,173.465,-114.04,180.0,top
J1,SSQ-103-01-G-D,PinHeader_2x03_P2.54mm_Vertical,181.475,-74.125,-90.0,bottom
J2,Conn_Coaxial,SMB_Jack_Vertical,220.34,-74.47,0.0,top
J3,Conn_Coaxial,SMB_Jack_Vertical,147.81,-74.47,0.0,top
J4,Conn_Coaxial,SMB_Jack_Vertical,220.34,-85.896,0.0,top
J5,Conn_Coaxial,SMB_Jack_Vertical,147.81,-85.906,0.0,top
J6,Conn_Coaxial,SMB_Jack_Vertical,220.34,-97.322,0.0,top
J7,Conn_Coaxial,SMB_Jack_Vertical,147.81,-97.342,0.0,top
J8,Conn_Coaxial,SMB_Jack_Vertical,220.35,-108.748,0.0,top
J9,Conn_Coaxial,SMB_Jack_Vertical,147.81,-108.778,0.0,top
J10,Conn_Coaxial,SMB_Jack_Vertical,220.37,-120.174,180.0,top
J11,Conn_Coaxial,SMB_Jack_Vertical,147.81,-120.214,0.0,top
J12,Conn_Coaxial,SMB_Jack_Vertical,206.1,-74.42,0.0,top
J13,Conn_Coaxial,SMB_Jack_Vertical,160.74,-74.47,0.0,top
J14,Conn_Coaxial,SMB_Jack_Vertical,220.37,-131.6,180.0,top
J15,Conn_Coaxial,SMB_Jack_Vertical,147.81,-131.65,0.0,top
J16,Conn_Coaxial,SMB_Jack_Vertical,206.1,-131.6,0.0,top
J17,Conn_Coaxial,SMB_Jack_Vertical,159.55,-131.65,0.0,top
J18,SSQ-103-01-G-D,PinHeader_2x03_P2.54mm_Vertical,187.2,-134.1,90.0,bottom
L1,0.033uH,C_0402_1005Metric,188.4,-95.4,0.0,bottom
L2,0.033uH,C_0402_1005Metric,178.9,-94.3,180.0,bottom
L3,0.033uH,C_0402_1005Metric,188.4,-98.0,0.0,bottom
L4,0.033uH,C_0402_1005Metric,178.9,-97.16,180.0,bottom
L5,0.033uH,C_0402_1005Metric,188.39,-100.15,0.0,bottom
L6,0.033uH,C_0402_1005Metric,178.9,-99.5,180.0,bottom
L7,0.033uH,C_0402_1005Metric,188.36,-102.71,0.0,bottom
L8,0.033uH,C_0402_1005Metric,178.9,-102.0,180.0,bottom
L9,0.033uH,C_0402_1005Metric,188.37,-105.26,0.0,bottom
L10,0.033uH,C_0402_1005Metric,178.9,-105.22,180.0,bottom
